area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,-26814.498731785923,326781.3468916958,363.0718092435828,228212.74409726434,-22340.665922177763,615368.2759163916,-305449.2181914191,828559.8566287413
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,12561.442775533838,425457.5756681511,-128292.34010984926,356552.4907968816,-167088.07198034372,712129.109007443,0.0,0.0
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,73992.6766419359,183368.40819028462,0.0,0.0,484285.7142854467,207499.99999999997,-26718.357521612834,241791.5154898045
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,148958.89523994722,331750.91272629175,-14580.650182098401,273988.8754582308,142728.96192442544,511602.2445725577,-45186.07365733782,647305.1321110707
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,78151.52222099884,327586.9643230847,128366.0410992111,165388.59060674295,-336217.6550744337,1281781.3527816439,0.0,0.0
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,-57333.208379129326,274698.21025351976,-10425.418201580154,145923.64342107196,87980.55839789876,247334.45402718565,68990.96093610449,460673.3038317893
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,-13062.80439018939,339191.0559044587,-28200.80423437247,244634.77323164916,894824.8758200854,856331.0945744372,-637176.6519586842,1440144.7291477972
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,-80149.27874201669,374358.9880600565,-79871.62288989541,278214.1884141048,40711.54180765107,465698.26489804895,-58247.72270650726,417534.3073583876
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
