SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
May-28-2019,Condo/Co-op,Chicago,IL,60657.0,501750.0,2.0,2.0,0.0,,2002.0,,,160.0,41.9411847,-87.6634704
June-28-2023,Condo/Co-op,Chicago,IL,60656.0,173000.0,2.0,1.0,950.0,10000.0,1960.0,,182.0,200.0,41.9775815,-87.840759
July-28-2020,Single Family Residential,Chicago,IL,60629.0,309900.0,4.0,3.0,2000.0,3750.0,1927.0,,155.0,,41.7885134,-87.7212364
March-13-2023,Single Family Residential,Chicago,IL,60636.0,77000.0,3.0,1.5,1200.0,2975.0,1910.0,,64.0,,41.7854642,-87.673795
March-5-2019,Multi-Family (2-4 Unit),Chicago,IL,60644.0,200000.0,8.0,3.0,,6534.0,1904.0,,,,41.8820719,-87.7474367
February-16-2022,Single Family Residential,Chicago,IL,60634.0,644000.0,4.0,3.5,3300.0,3598.0,2021.0,,195.0,,41.9433967,-87.8333742
October-17-2019,Single Family Residential,Chicago,IL,60634.0,220000.0,3.0,1.5,1800.0,4024.0,1920.0,,122.0,,41.9504833,-87.7810026
April-16-2021,Condo/Co-op,Chicago,IL,60618.0,264900.0,2.0,2.0,,,,,,251.0,41.9609719,-87.7035631
February-28-2023,Condo/Co-op,Chicago,IL,60610.0,238000.0,1.0,1.0,850.0,,1988.0,,280.0,763.0,41.8990064,-87.6293532
December-14-2021,Multi-Family (2-4 Unit),Chicago,IL,60620.0,205900.0,4.0,4.0,,,1923.0,,,,41.7499172,-87.6606754
April-19-2023,Multi-Family (2-4 Unit),Chicago,IL,60608.0,550000.0,7.0,3.0,,,,,,,41.8462093,-87.6548954
September-20-2019,Single Family Residential,Chicago,IL,60655.0,253500.0,4.0,2.0,1284.0,5061.0,1946.0,,197.0,,41.698595,-87.7013851
May-7-2021,Multi-Family (2-4 Unit),Chicago,IL,60657.0,645000.0,4.0,3.0,,3049.0,1891.0,,,,41.9443745,-87.6732097
August-20-2021,Condo/Co-op,Chicago,IL,60601.0,285000.0,1.0,1.0,835.0,,2005.0,,341.0,651.0,41.8867103,-87.6209577
December-17-2020,Condo/Co-op,Chicago,IL,60657.0,405000.0,3.0,3.0,1800.0,,1926.0,,225.0,1340.0,41.9424731,-87.6403411
January-14-2022,Single Family Residential,Chicago,IL,60630.0,536000.0,3.0,2.0,2257.0,,1905.0,,237.0,,41.9797272,-87.7541879
April-7-2022,Single Family Residential,Chicago,IL,60620.0,279000.0,4.0,2.0,2500.0,4390.0,,,112.0,,41.7335454,-87.6596318
April-1-2019,Condo/Co-op,Chicago,IL,60613.0,305000.0,2.0,1.0,1000.0,,1912.0,,305.0,300.0,41.951329,-87.6530968
May-18-2021,Single Family Residential,Chicago,IL,60629.0,220000.0,3.0,2.0,3780.0,3781.0,1921.0,,58.0,,41.7853536,-87.7283452
November-13-2020,Multi-Family (2-4 Unit),Chicago,IL,60617.0,165000.0,5.0,3.0,2900.0,6250.0,1906.0,,57.0,,41.716822,-87.5331912
September-6-2019,Condo/Co-op,Chicago,IL,60645.0,71600.0,1.0,1.0,864.0,,1952.0,,83.0,275.0,42.013028,-87.6892175
May-26-2020,Condo/Co-op,Chicago,IL,60625.0,178000.0,2.0,1.0,1000.0,,2001.0,,178.0,260.0,41.9667869,-87.7203584
May-14-2019,Condo/Co-op,Chicago,IL,60640.0,300000.0,2.0,1.0,,,1928.0,,,449.0,41.975055,-87.666523
May-20-2021,Condo/Co-op,Chicago,IL,60607.0,440000.0,2.0,2.0,1150.0,,2003.0,,383.0,434.0,41.8814368,-87.6523831
August-13-2021,Single Family Residential,Chicago,IL,60618.0,1090000.0,5.0,4.0,3200.0,3723.0,1915.0,,341.0,,41.9460603,-87.6855307
April-17-2020,Condo/Co-op,Chicago,IL,60613.0,295000.0,2.0,2.0,1800.0,,1927.0,,164.0,879.0,41.9607737,-87.6478819
March-22-2023,Condo/Co-op,Chicago,IL,60612.0,236000.0,1.0,1.0,,,2022.0,,,160.0,41.8787879,-87.6850248
January-5-2021,Single Family Residential,Chicago,IL,60634.0,365000.0,4.0,2.0,,4125.0,1926.0,,,,41.9486676,-87.7802148
October-21-2019,Single Family Residential,Chicago,IL,60653.0,511000.0,3.0,3.5,,7849.0,2018.0,,,100.0,41.8177464,-87.6134966
September-1-2022,Condo/Co-op,Chicago,IL,60622.0,910000.0,4.0,2.5,,,2022.0,,,225.0,41.8969623,-87.6687706
June-23-2020,Single Family Residential,Chicago,IL,60644.0,52500.0,3.0,2.0,729.0,5499.0,1910.0,,72.0,,41.8814758,-87.7611051
May-9-2022,Condo/Co-op,Chicago,IL,60622.0,808500.0,3.0,2.5,,,2006.0,,,150.0,41.9092433,-87.6715789
February-11-2021,Condo/Co-op,Chicago,IL,60657.0,370000.0,2.0,1.0,1500.0,,1911.0,,247.0,342.0,41.9449097,-87.6475514
April-23-2021,Condo/Co-op,Chicago,IL,60642.0,317500.0,2.0,1.0,,,,,,105.0,41.8995747,-87.6633454
October-14-2022,Condo/Co-op,Chicago,IL,60657.0,625000.0,2.0,2.0,,,2006.0,,,233.0,41.9371904,-87.654374
April-1-2022,Condo/Co-op,Chicago,IL,60615.0,252000.0,2.0,2.0,1150.0,,1962.0,,219.0,1047.0,41.8064982,-87.5866451
July-27-2022,Condo/Co-op,Chicago,IL,60652.0,24000.0,1.0,1.0,,,1968.0,,,322.0,41.7545153,-87.7303056
May-28-2020,Single Family Residential,Chicago,IL,60651.0,268200.0,5.0,3.0,3620.0,4051.0,1925.0,,74.0,,41.9003765,-87.7706583
May-18-2020,Condo/Co-op,Chicago,IL,60660.0,320000.0,2.0,2.0,,,2005.0,,,259.0,41.9872297,-87.6604442
May-27-2020,Condo/Co-op,Chicago,IL,60640.0,420000.0,2.0,2.0,,,,,,545.0,41.975087,-87.6561278
March-16-2020,Multi-Family (2-4 Unit),Chicago,IL,60618.0,500000.0,8.0,4.0,,3125.0,1905.0,,,,41.9348035,-87.7117917
December-3-2021,Single Family Residential,Chicago,IL,60633.0,171000.0,4.0,3.0,1950.0,3123.0,1917.0,,88.0,,41.6587552,-87.5486054
May-12-2021,Condo/Co-op,Chicago,IL,60611.0,510000.0,2.0,2.0,1250.0,,1982.0,,408.0,951.0,41.8951123,-87.6266389
