area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,-85315.86575601043,276275.3001360621,-31282.244348396358,181391.49650448788,236401.42412100875,482189.1897649173,873502.5380707107,399999.99999999994
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,66080.0148345157,309683.7759851058,-4059.295634684834,298489.1626569597,120014.04035101233,466535.1193779784,0.0,0.0
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,10.502599497165283,96455.14936667519,0.0,0.0,26605.141690647288,79471.37016914815,-4432.633057054353,155683.10829381898
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,54015.53178152881,325827.74333534524,46668.13459435167,226922.86618126195,-95380.9595170176,614422.3330309379,406823.3306983668,464380.87622015056
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,240520.5443831524,308202.1728067492,15605.048576146359,244523.7192741941,-611670.9222203976,1406453.7093328978,-844605.6177765805,751589.7974713589
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,-18284.247989800202,260411.92981555045,-45906.98571055439,193240.6556158116,-282741.27239342034,351217.38475479145,-52963.630618837145,408737.17764615966
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,137954.8658534149,213516.6196129211,67826.49477583285,181236.34013893572,1874152.0329502253,456191.91935698246,-917307.6923080451,629999.9999999999
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,63309.10812146922,299931.3730027908,64893.38589746663,215242.7841022417,295808.4808722615,241208.83003731866,19767.272249491183,383199.25285094226
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11,11,0.0,0.0,JEFFERSON PARK,0.0,64868161.6818,44011.9571704,20201.332930711418,380081.02252935286,-7523.21269407501,201315.3973458162,14870.628361122008,413910.41534218943,27554.76285930165,447796.66723234183
0.0,12,12,0.0,0.0,FOREST GLEN,0.0,89130893.6364,74493.821604,-12691.272754065063,579205.1887482597,-12756.171131636569,315893.0069430321,-37470.08490954657,602439.797799135,282641.3516556297,379367.17685168853
0.0,13,13,0.0,0.0,NORTH PARK,0.0,70288706.4343,41581.9486539,48428.942822038305,378999.25651690376,-30119.171455358806,236220.67375068867,51963.26284249434,480049.00340256374,67191.77600082633,536606.6936748034
0.0,14,14,0.0,0.0,ALBANY PARK,0.0,53542230.8191,39339.0164387,-33872.90568976747,382008.7929268798,-18778.539330486383,239146.96678710013,-40955.1740370065,572952.043604566,51792.92965227433,483496.46519447316
0.0,15,15,0.0,0.0,PORTAGE PARK,0.0,110196097.139,46520.6421377,-11827.495443701484,389137.32155309553,14423.065827536897,183942.05127048705,-12845.880545137012,403231.3721020106,-1548.2443287184985,456203.34829194436
0.0,16,16,0.0,0.0,IRVING PARK,0.0,89611382.3106,49083.2240938,100943.1568893169,389366.8019166147,1916.3546815437048,251269.67533783114,-11654.680017215984,639387.4018330794,4033.8125212913887,515971.8491591278
0.0,17,17,0.0,0.0,DUNNING,0.0,103595001.175,54555.9925337,-2100.96965893448,338328.326257576,34136.78936538362,194839.16044527208,-5035.11428273701,359164.69562441244,-62935.262018252346,468952.581456325
0.0,18,18,0.0,0.0,MONTCLARE,0.0,27576393.6325,22404.8521448,80420.35907804397,274768.3177882362,-402.23456986148284,186593.41710669725,18731.932727339645,317953.78471863223,114119.40298501232,387757.46268656745
0.0,19,19,0.0,0.0,BELMONT CRAGIN,0.0,109099414.689,43311.707379,7990.881618977407,338923.1939575189,34921.97323083433,185986.96049237554,4471.854118247573,328627.3800992269,7313.068870938679,415062.17217273236
