SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
,Vacant Land,4427 N Mobile Ave,Chicago,IL,60630.0,280000.0,,,,4356.0,,13.0,,,41.9611253,-87.784131
,Condo/Co-op,4507 S Lake Park Ave Unit 2N,Chicago,IL,60653.0,279000.0,3.0,2.0,1450.0,,2000.0,14.0,192.0,297.0,41.8133073,-87.5959757
,Multi-Family (2-4 Unit),3601 N Sacramento Ave,Chicago,IL,60618.0,475000.0,5.0,3.0,,4356.0,1910.0,17.0,,,41.9468556,-87.7026164
,Condo/Co-op,222 E Chestnut St Unit 6B,Chicago,IL,60611.0,775000.0,3.0,2.5,2400.0,,1931.0,17.0,323.0,1852.0,41.8986915,-87.6209133
,Single Family Residential,5713 W Leland Ave,Chicago,IL,60630.0,399000.0,3.0,3.0,1870.0,4007.0,1921.0,17.0,213.0,,41.9657225,-87.7705157
,Condo/Co-op,3158 N Seminary Ave Unit 4A,Chicago,IL,60657.0,565000.0,2.0,2.0,,,2005.0,18.0,,368.0,41.939645,-87.6566807
,Single Family Residential,5320 S Tripp Ave,Chicago,IL,60638.0,293500.0,4.0,1.0,2130.0,,1939.0,18.0,138.0,,41.7961314,-87.7296824
,Condo/Co-op,2753 N Hampden Ct Unit 2B,Chicago,IL,60614.0,1895000.0,4.0,4.5,2902.0,,2019.0,18.0,653.0,650.0,41.9322901,-87.6420418
,Condo/Co-op,2909 N Sheridan Rd #1308,Chicago,IL,60657.0,159900.0,1.0,1.0,700.0,,1954.0,18.0,228.0,690.0,41.9347042,-87.6390529
,Condo/Co-op,20 N State St #304,Chicago,IL,60602.0,250000.0,1.0,1.0,,,1929.0,18.0,,428.0,41.8826997,-87.6282649
,Condo/Co-op,1833 W Iowa St #3,Chicago,IL,60622.0,635000.0,2.0,2.0,1400.0,,2002.0,18.0,454.0,277.0,41.8976551,-87.6735704
,Single Family Residential,3900 W Montrose Ave,Chicago,IL,60618.0,524900.0,5.0,4.0,2000.0,4138.0,1910.0,19.0,262.0,,41.9611712,-87.7255787
,Condo/Co-op,101 W Superior St #905,Chicago,IL,60654.0,470000.0,2.0,2.0,1075.0,,2004.0,20.0,437.0,726.0,41.8954259,-87.6317101
,Single Family Residential,11347 S Church St,Chicago,IL,60643.0,285000.0,3.0,3.0,1538.0,7501.0,1902.0,20.0,185.0,,41.6874098,-87.6673793
,Condo/Co-op,65 E Monroe St #4206,Chicago,IL,60603.0,775000.0,2.0,2.0,1430.0,,2008.0,20.0,542.0,1125.0,41.8806386,-87.6255308
,Condo/Co-op,3201 W Leland Ave #212,Chicago,IL,60625.0,334900.0,2.0,2.0,,,2010.0,20.0,,378.0,41.966384,-87.708777
,Condo/Co-op,210 S Desplaines St #908,Chicago,IL,60661.0,225000.0,0.0,1.0,650.0,,2004.0,21.0,346.0,450.0,41.8789423,-87.6445088
,Condo/Co-op,545 N Dearborn St #1206,Chicago,IL,60654.0,339000.0,1.0,1.0,750.0,,2003.0,21.0,452.0,546.0,41.892138,-87.6293649
,Condo/Co-op,848 W Erie St #2,Chicago,IL,60642.0,499900.0,2.0,2.0,,,2010.0,21.0,,115.0,41.8936162,-87.6495302
,Condo/Co-op,2024 S Wabash Ave #204,Chicago,IL,60638.0,289900.0,2.0,2.0,1290.0,,1920.0,25.0,225.0,673.0,41.8546146,-87.6260075
,Condo/Co-op,625 W Jackson Blvd #208,Chicago,IL,60661.0,374900.0,2.0,2.0,1286.0,,1918.0,25.0,292.0,625.0,41.8778774,-87.6435687
,Single Family Residential,4140 S Calumet Ave,Chicago,IL,60653.0,624900.0,4.0,3.5,3000.0,5070.0,2016.0,25.0,208.0,,41.8190187,-87.6186077
,Condo/Co-op,221 E Cullerton St #616,Chicago,IL,60616.0,255000.0,1.0,1.0,950.0,,2003.0,25.0,268.0,422.0,41.8553079,-87.6210253
,Condo/Co-op,1636 W Melrose St #104,Chicago,IL,60657.0,230000.0,1.0,1.0,,,1925.0,25.0,,197.0,41.9408453,-87.6701752
