area,area_num_1,area_numbe,comarea,comarea_id,community,perimeter,shape_area,shape_len,coeff,bias,condo_coeff,condo_bias,sf_coeff,sf_bias,mf_coeff,mf_bias
0.0,35,35,0.0,0.0,DOUGLAS,0.0,46004621.1581,31027.0545098,88670.78617983765,190516.9890639655,44576.30229464446,121709.8059954342,91983.62651746206,406163.84681070066,333171.67589661625,256156.32162619432
0.0,36,36,0.0,0.0,OAKLAND,0.0,16913961.0408,19565.5061533,29363.030916986827,325573.2030759295,10476.57218478277,271769.03431184014,-186200.61985020162,492214.8299330692,1483200.0000005392,189999.99999999997
0.0,37,37,0.0,0.0,FULLER PARK,0.0,19916704.8692,25339.0897503,20994.839245811396,103062.78559619296,0.0,0.0,422953.2234877124,41794.96848390137,-165015.55399045453,183371.2313040495
0.0,38,38,0.0,0.0,GRAND BOULEVARD,0.0,48492503.1554,28196.8371573,6315.24097677478,295128.0153089133,93466.11108073783,160275.91556510917,-103479.23672206,541506.867061734,55156.561618163745,339763.90874514787
0.0,39,39,0.0,0.0,KENWOOD,0.0,29071741.9283,23325.1679062,63452.330502742334,291556.2345149646,85818.91270493723,180341.6776507128,67856.6325222865,672247.8335970754,0.0,0.0
0.0,4,4,0.0,0.0,LINCOLN SQUARE,0.0,71352328.2399,36624.6030848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40,40,0.0,0.0,WASHINGTON PARK,0.0,42373881.4842,28175.3160866,202367.44571299452,55387.89813119068,50986.13610872983,79641.9910308404,-134506.51929881357,147472.84345046806,331408.30707736255,112051.545580571
0.0,41,41,0.0,0.0,HYDE PARK,0.0,45105380.1732,29746.7082016,84528.88312611335,262064.56694370243,5587.922598130901,201003.66767702787,-34299.906414296325,852225.6300678982,-1180509.0164975403,1096837.830924654
0.0,42,42,0.0,0.0,WOODLAWN,0.0,57815179.512,46936.9592443,-104336.80749156806,279240.40418700146,-53862.22812841386,208927.82713570684,-215309.28010532865,458075.6761765805,22299.584760916747,209161.47552159024
0.0,1,1,0.0,0.0,ROGERS PARK,0.0,51259902.4506,34052.3975757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,11,11,0.0,0.0,JEFFERSON PARK,0.0,64868161.6818,44011.9571704,-498.0041991443046,323707.5222477797,-30370.782918198816,199483.7764821997,-72496.40832866498,376253.2096280314,27998.978677319956,383022.83385304856
0.0,12,12,0.0,0.0,FOREST GLEN,0.0,89130893.6364,74493.821604,12667.232808660152,477288.69851003785,-211641.7486415424,353652.7220426551,-9868.507949745488,500351.2681489907,-134834.16199086778,477213.30104908004
0.0,13,13,0.0,0.0,NORTH PARK,0.0,70288706.4343,41581.9486539,40892.236226496716,353106.5598342503,114800.73050504351,173362.33372334598,-32747.416306358675,425587.3430145681,180331.52056909763,479836.72499356227
0.0,14,14,0.0,0.0,ALBANY PARK,0.0,53542230.8191,39339.0164387,76157.19672047869,308778.6826154326,39494.6205452114,195701.43029370022,71814.02154556863,421125.81197266455,3350.119636239504,455940.00859097
0.0,15,15,0.0,0.0,PORTAGE PARK,0.0,110196097.139,46520.6421377,-15203.524201642074,366210.92710701353,47098.21400137391,146755.52562432992,4341.303907871195,360822.57751302,4872.715762032135,412469.59186905384
0.0,16,16,0.0,0.0,IRVING PARK,0.0,89611382.3106,49083.2240938,-3360.879024502091,402508.6120318998,26691.050337635595,192468.4068184625,28.526153573146566,539461.478350953,68102.41518100686,461650.95313404145
0.0,17,17,0.0,0.0,DUNNING,0.0,103595001.175,54555.9925337,17791.31582977548,270541.0306739113,14880.469283301612,185106.64611549224,-4537.868878391198,298113.32115214644,123594.395818745,306440.6389853457
0.0,18,18,0.0,0.0,MONTCLARE,0.0,27576393.6325,22404.8521448,-336.1738599235013,272294.3966938916,-79968.56133826672,202434.14036858315,-35723.3879012615,310203.0941817494,99589.48031194409,290477.307437712
0.0,19,19,0.0,0.0,BELMONT CRAGIN,0.0,109099414.689,43311.707379,5134.367387107173,295360.41409270174,38056.90892689192,138977.32208251607,3002.457483680326,271800.96208568563,9927.934378793263,333020.4268500498
0.0,2,2,0.0,0.0,WEST RIDGE,0.0,98429094.8621,43020.6894583,-5070.062731915783,273122.5251697891,19280.038699386427,144573.78241281636,7832.441279486534,382074.8065149149,32893.602411675936,483955.3458740227
0.0,20,20,0.0,0.0,HERMOSA,0.0,32602059.4055,27179.0174378,-19373.17096535615,303132.3346288202,51486.78595353566,152866.22906896393,-36886.1301512067,291503.49401340395,-93085.8103221451,390378.22307679325
0.0,21,21,0.0,0.0,AVONDALE,0.0,55290595.473,34261.9334038,-27205.49768358533,460880.1735498313,75678.82101858975,273314.9152797999,-128515.3347104295,583900.3079674459,-16686.60824512687,537254.4860563255
0.0,22,22,0.0,0.0,LOGAN SQUARE,0.0,100057566.7,49213.4217488,46333.94354007485,462743.456650522,-58187.34421600697,386424.70241454476,279111.87543550984,587222.16702512,-14018.858893091321,589521.8383208435
0.0,23,23,0.0,0.0,HUMBOLDT PARK,0.0,100480876.502,48583.0643299,10524.106567891295,276400.1105999951,56307.20954389045,200232.46619975433,29505.064045154468,299449.5619956301,-10003.520540660187,304815.7179445514
0.0,24,24,0.0,0.0,WEST TOWN,0.0,127562904.597,55203.7186956,1457.5457907596056,562327.2789566763,16110.538004239232,441305.35500932945,-18938.011045921645,999381.3750317481,73976.44678372235,716401.9126794883
0.0,25,25,0.0,0.0,AUSTIN,0.0,199254203.427,75226.4749167,29713.829498036743,210036.3404192042,40349.265476271394,115036.61694341955,22481.87454450981,200770.6863422941,38527.667416163844,229513.28323555688
0.0,26,26,0.0,0.0,WEST GARFIELD PARK,0.0,36092848.8151,26238.5419796,78384.73944809358,144302.7055034965,176464.28571440311,84999.99999999999,-29452.244312339644,114310.61550635577,76619.21216483392,127688.84517834755
0.0,27,27,0.0,0.0,EAST GARFIELD PARK,0.0,53883220.8462,31514.6259565,20475.927602968637,185633.57404022824,-60172.89207421202,161952.06260540616,-51639.440063497015,235133.92853404162,81127.40202238243,188186.84768098366
0.0,28,28,0.0,0.0,NEAR WEST SIDE,0.0,158492466.554,53003.5929406,23397.407922760758,500886.07270489744,70161.64172457918,483255.95621433365,-106671.40382822935,426202.7801217005,158257.0225143928,500936.7089886202
0.0,29,29,0.0,0.0,NORTH LAWNDALE,0.0,89487422.0242,44959.4596627,22682.161358593312,175462.14794528665,0.0,0.0,119620.83836553266,87482.42697864174,-17584.07074928505,205037.85736183563
