SOLD DATE,PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE
May-10-2023,Condo/Co-op,Chicago,IL,60605.0,260000.0,2.0,1.0,1028.0,,1914.0,,253.0,827.0,41.8707463,-87.6263403
September-30-2019,Townhouse,Chicago,IL,60616.0,418000.0,3.0,3.0,,800.0,2008.0,,,278.0,41.8465742,-87.6179592
October-3-2022,Single Family Residential,Chicago,IL,60620.0,60900.0,3.0,1.5,1155.0,,1962.0,,53.0,,41.7352248,-87.6644898
October-14-2021,Single Family Residential,Chicago,IL,60612.0,110000.0,3.0,1.0,924.0,2600.0,1894.0,,119.0,,41.8766069,-87.6929145
September-27-2023,Condo/Co-op,Chicago,IL,60641.0,152000.0,1.0,1.0,850.0,,1929.0,,179.0,200.0,41.9362088,-87.7274475
April-17-2020,Condo/Co-op,Chicago,IL,60614.0,435000.0,3.0,3.0,,,1999.0,,,210.0,41.9325196,-87.6771637
December-27-2021,Single Family Residential,Chicago,IL,60652.0,260000.0,3.0,1.5,1800.0,,1958.0,,144.0,,41.7353737,-87.7260303
September-30-2022,Townhouse,Chicago,IL,60614.0,857500.0,3.0,3.0,,,1991.0,,,225.0,41.9292741,-87.6653063
June-4-2021,Single Family Residential,Chicago,IL,60607.0,1150000.0,4.0,3.5,4000.0,3188.0,1890.0,,288.0,,41.8774252,-87.6658014
March-18-2022,Townhouse,Chicago,IL,60613.0,893000.0,3.0,2.0,1850.0,,2021.0,,483.0,350.0,41.9522911,-87.6554323
May-22-2020,Single Family Residential,Chicago,IL,60634.0,300000.0,3.0,2.0,1460.0,4251.0,1952.0,,205.0,,41.9560215,-87.7710484
December-20-2021,Single Family Residential,Chicago,IL,60628.0,30000.0,3.0,1.0,1200.0,3123.0,1920.0,,25.0,,41.7013829,-87.6318014
October-8-2019,Single Family Residential,Chicago,IL,60643.0,195000.0,4.0,2.0,2050.0,4687.0,1952.0,,95.0,,41.7207957,-87.6465709
May-28-2019,Condo/Co-op,Chicago,IL,60661.0,425000.0,2.0,2.0,1350.0,,1920.0,,315.0,477.0,41.8770214,-87.6435459
May-23-2019,Multi-Family (2-4 Unit),Chicago,IL,60624.0,66900.0,7.0,3.0,,3049.0,1911.0,,,,41.8670019,-87.7160393
June-8-2022,Condo/Co-op,Chicago,IL,60622.0,383000.0,1.0,1.0,1325.0,,,,289.0,325.0,41.913639,-87.66971
March-5-2021,Condo/Co-op,Chicago,IL,60605.0,548000.0,2.0,2.0,1750.0,,,,313.0,971.0,41.8701636,-87.6248468
August-8-2022,Condo/Co-op,Chicago,IL,60613.0,240000.0,2.0,1.0,800.0,,1913.0,,300.0,180.0,41.9508425,-87.6735389
