WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,MED_HV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,GEOG,TOT_POP,TOT_HH,MED_ROOMS
15349,25003,2215,8223,1289,13550,13719,11806,8412,3257,1335,33.7707497656982,29624,26868,2703,11797,260401.647785788,3993,3997,3056,1912,1936,1579,51968.8498402556,Albany Park,52079,16473,5.37750958718701
2572,10109,114,388,82,4205,2948,2830,1924,947,411,31.9913242009132,6594,5808,786,3304,177566.964285714,890,1238,854,317,425,114,43393.536121673,Archer Heights,13266,3839,5.59674922600619
1545,438,1348,10324,413,3029,3004,2500,2806,1815,915,41.9546448087432,6997,5919,1078,4883,275865.384615385,2660,1147,646,263,383,121,24336.4611260054,Armour Square,14068,5221,4.85478547854786
5555,15455,20817,284,641,12506,8188,8951,8557,3401,1149,36.1643902439024,21985,19004,2981,10958,159074.378226185,2138,2888,2484,2083,2307,923,63573.1622746186,Ashburn,42752,12823,6.526369168357
231,689,44402,117,403,12050,8948,7776,9624,5420,2024,39.1345765686705,20187,14910,5234,16422,130475.946775844,7455,4475,2839,1103,972,306,29388.7147335423,Auburn Gresham,45842,17150,5.81117439120189
4353,11132,81066,467,625,28457,20624,18286,18392,9571,2313,34.7002278083268,41638,33519,8110,33658,168982.002249719,12989,8564,4773,2559,2273,879,31634.3004211511,Austin,97643,32037,5.7479605196898
52,62,9521,59,86,2031,1816,1636,2319,1516,462,45.0246644295302,4498,3493,1005,3782,155442.708333333,1407,841,533,351,490,154,41351.3513513514,Avalon Park,9780,3775,6.26565762004175
12327,24563,842,1277,712,10176,12222,8105,5728,2696,794,31.9840173545966,21289,19621,1668,10003,274928.639391056,3414,4239,2572,1374,1194,771,44663.323782235,Avondale,39721,13564,5.54145671094824
11276,63355,2483,1183,862,25314,18056,17714,11867,4780,1428,31.9751220280271,40580,35575,4990,18185,204817.596566524,5597,6563,4484,2111,2261,709,43533.8484179544,Belmont Cragin,79159,21726,5.61236664795059
11604,1414,7257,101,439,5466,2890,4360,5285,2180,634,42.6722384784199,10947,10163,784,5548,283454.734651405,689,1226,1131,1110,1418,1918,90765.7657657658,Beverly,20815,7492,7.19141449683322
10818,9546,951,11702,861,7632,8630,6797,7283,2528,1007,36.3665981077746,18834,16720,2114,8847,267322.834645669,3729,3202,2089,1382,1302,816,43056.4924114671,Bridgeport,33878,12519,5.30208333333333
2844,37620,677,2955,106,15143,9824,10091,6179,2139,826,30.7451479289941,20579,17856,2721,11587,165602.836879433,3540,4726,1965,937,632,230,36077.4410774411,Brighton Park,44202,12030,5.34690553745928
0,0,2601,0,0,751,479,333,568,364,106,37.3989583333333,1089,855,234,985,116100.0,458,221,56,54,74,24,23632.0754716981,Burnside,2601,887,5.70355731225296
308,443,12835,5,141,2760,1823,2822,3008,2279,1040,46.7294117647059,6486,5392,1094,5071,153710.9375,1337,1352,912,790,711,267,49922.9452054795,Calumet Heights,13732,5369,6.45332645693657
389,287,30329,109,278,7526,5674,5959,7323,3281,1629,41.0222331047992,14979,11933,3046,10286,140956.52173913,5574,3490,2134,1186,850,325,32221.7465753425,Chatham,31392,13560,5.42488425925926
1873,26377,26100,529,672,18975,12949,11042,8239,3484,862,30.3917609225992,25571,19975,5588,15171,118931.966726084,6074,4888,2322,1272,864,285,33121.704745167,Chicago Lawn,55551,15705,5.81055607917059
11871,12361,140,319,271,6574,5448,5574,4068,2287,1011,36.1279338014042,13331,11966,1365,6182,183710.895361381,1708,1766,1897,1437,1277,445,60623.9168110919,Clearing,24962,8530,5.71517140773158
2165,485,14365,2913,395,4185,6391,3617,3369,1969,792,33.4924809424809,9591,8101,1490,7879,224835.526315789,4407,1809,1480,750,445,385,29184.7826086957,Douglas,20323,9276,3.97256744468021
28340,11448,1035,1775,427,9829,8925,8357,9413,4563,1938,40.6113198458574,23552,21824,1694,11460,227721.322769549,2972,3669,2750,2427,2479,1135,59737.3188405797,Dunning,43025,15432,5.79964261782444
878,727,18854,57,140,6965,4909,3520,3426,1371,465,29.7944665341286,7032,5604,1428,7955,174596.774193548,3753,1403,741,575,289,162,21481.9277108434,East Garfield Park,20656,6923,5.54623983739837
4040,18968,684,28,64,8281,4822,4721,3854,1389,717,31.1043797953964,11267,9330,1912,6007,119199.785177229,1704,2124,1157,903,661,252,43421.0526315789,East Side,23784,6802,6.04533333333333
29912,8918,7853,6324,1866,7999,16748,12209,10783,5179,1955,37.9344355377421,34299,31487,2812,14924,231771.192281185,8078,6861,5059,3352,2803,2522,46173.6641221374,Edgewater,54873,28675,4.30441712204007
9787,1060,120,164,78,2456,2187,2658,2197,1120,588,41.3860927152318,6243,5930,312,2893,329606.741573034,362,874,654,729,738,1083,86299.7256515775,Edison Park,11208,4440,6.13984168865435
199,682,24810,76,354,8266,6184,3902,4593,2234,942,31.392246264812,9960,6371,3583,9580,96556.8862275449,5320,2267,850,362,231,73,19853.7844036697,Englewood,26121,9103,5.70689655172414
13258,2205,177,2475,344,5030,2290,3842,4054,2164,1079,42.5693181818182,9449,8875,574,4614,409600.903614458,734,971,884,695,1426,1957,101558.603491272,Forest Glen,18459,6665,6.84690656565657
70,181,2273,16,3,568,473,411,535,457,99,43.6575,1042,718,324,1032,93888.8888888889,623,219,84,75,71,15,20092.5925925926,Fuller Park,2543,1086,5.35324675324675
1460,38009,1342,350,41,14775,9635,9283,4848,2192,469,28.9082458770615,19821,16664,3157,9440,126691.419141914,2865,3416,1844,933,554,130,38582.3170731707,Gage Park,41202,9742,5.70033860045147
16837,16581,1462,417,273,9027,6779,7628,6879,3605,1652,38.6250841121495,18312,16225,2087,10263,199981.160512434,2143,2858,2137,1545,2131,1202,60851.4190317195,Garfield Ridge,35570,12016,5.93054256314312
719,574,20274,117,689,6243,4302,5129,3606,2293,800,36.8501177163037,10355,8132,2223,7051,211333.333333333,4385,1923,1327,779,683,600,30260.2040816327,Grand Boulevard,22373,9697,5.1070799577316
466,358,31077,4,441,9327,6621,5992,6408,2619,1379,35.6689927184466,14274,10714,3560,10659,124572.31726283,5748,2770,1758,836,569,278,26515.0523560209,Greater Grand Crossing,32346,11959,5.61309523809524
4087,4267,566,0,65,2199,1910,1349,2218,1034,275,39.3454965357968,4406,4007,399,2783,134204.275534442,950,817,512,487,491,291,50337.8378378378,Hegewisch,8985,3547,5.77229437229437
1880,22491,379,355,384,7913,6230,4987,4214,1675,470,31.4001787538304,13254,11975,1279,5766,212533.422459893,2017,2269,1255,756,580,222,39156.9200779727,Hermosa,25489,7099,5.7507722007722
2958,28612,22481,271,689,17991,13599,10691,8278,3546,906,30.2106724461106,24206,19993,4213,16291,166840.052015605,6661,4471,2323,1668,906,490,32073.0247406225,Humboldt Park,55011,16519,5.63748959200666
12584,1891,8047,3244,1127,5987,9252,4405,3847,2421,981,30.7860655737705,14281,13153,1123,9225,255480.769230769,3544,2562,2498,1035,1387,1442,51231.9538017324,Hyde Park,26893,12468,4.57860480640854
22650,26359,1271,4614,1626,13440,15078,13404,9685,3593,1320,34.6804827226949,31818,29649,2156,13254,276071.706936867,4031,5748,3594,2388,2707,1832,51996.7707212056,Irving Park,56520,20300,5.53212627669452
17761,6218,250,2444,591,5947,5557,5771,5816,3066,1107,39.7897106109325,14915,13395,1520,7413,274960.598896769,2194,2191,1651,1285,1585,1349,60471.7484008529,Jefferson Park,27264,10255,5.71681131468981
2978,667,11916,1520,520,3464,4931,3055,3365,2092,694,36.8296040515654,9185,7812,1373,5665,237676.056338028,3109,1993,1221,723,954,928,39157.6086956522,Kenwood,17601,8928,4.50770284149264
78186,7125,3428,6748,2725,11355,49478,19564,10429,5234,2152,31.0208195503949,73436,70696,2691,14382,364297.497937861,8154,8783,8787,6438,8994,11247,76854.2249145697,Lake View,98212,52403,4.45519386903407
53676,4418,3204,3785,1876,11986,29457,12237,7744,4376,1159,30.0879208287088,45458,43557,1901,12512,457044.887780549,5179,3667,4500,3763,5631,9698,94087.1644964124,Lincoln Park,66959,32438,4.48403876300413
26405,7184,1398,4480,1294,6995,13587,9891,6579,2865,844,34.740672906245,26626,24709,1917,8085,357943.207981581,3573,3887,3293,2231,2579,2690,62933.9762611276,Lincoln Square,40761,18253,5.06682607601309
32145,34595,3438,2008,1516,15958,27799,16776,8204,4157,808,31.5598164050933,45081,42336,2739,15233,340600.083927822,6344,6017,5029,3258,4124,3996,59216.4009111617,Logan Square,73702,28768,5.43238318365222
4617,27693,1117,598,385,9429,10583,7081,4431,2215,671,30.6950779578111,18478,16380,2098,8231,197996.794871795,4107,3666,2096,1014,731,344,36089.7435897436,Lower West Side,34410,11958,4.80134575569358
2802,9612,507,3136,279,4724,3970,3227,2864,1145,406,33.1212560386473,8224,7088,1136,4066,195712.209302326,1435,1580,1044,497,412,198,43827.7511961722,McKinley Park,16336,5166,5.64481525625745
3637,8114,577,615,81,3409,2937,2708,2364,1213,393,35.8867934782609,6432,5737,696,3759,208347.978910369,1049,1412,605,564,610,186,43014.9812734082,Montclare,13024,4425,5.54057971014493
6558,641,15126,54,545,5741,3857,3934,5241,2695,1457,42.6631176061239,10699,9377,1314,7724,184338.803088803,1793,1676,1315,1193,1320,841,60747.0119521912,Morgan Park,22924,8139,6.53365774533658
16289,1205,664,383,242,5513,3510,4122,3516,1488,634,36.3141557496361,9475,8791,672,5099,228886.861313869,748,817,1078,1007,1912,895,89535.7497517378,Mount Greenwood,18783,6457,6.20794537554314
61334,4530,7910,9723,2214,7721,36283,14429,14208,10183,2887,34.4730483271375,58990,55273,3717,20476,396356.650768415,9766,6404,7991,6819,7974,14810,84975.8029036516,Near North Side,85711,53764,3.73395640357202
10404,1393,5382,4450,772,3634,7309,5679,3605,1827,347,35.4879156999227,15480,14893,583,3552,353215.636822194,2082,2036,1967,1212,2181,3011,78290.0165016502,Near South Side,22401,12489,3.80859683794466
25876,6186,18772,9615,1319,12086,26997,11762,7005,3024,894,30.4356039559951,38412,34543,3844,15141,321444.991789819,7277,3083,3933,2955,4663,5741,72143.1484502447,Near West Side,61768,27652,3.99107793153678
5061,24961,9827,799,349,13788,9660,8114,6303,2365,767,29.653877617801,18738,14608,4130,11354,133750.0,4648,3783,1579,917,526,256,30420.9183673469,New City,40997,11710,5.39976275207592
26322,4987,674,1493,1147,7493,11068,9170,4035,2023,834,33.6849672554078,22271,21317,943,5410,470878.048780488,1480,2139,2303,1910,2717,3994,92663.612565445,North Center,34623,14543,5.67822759812392
811,2470,31397,99,499,12408,8324,5653,5820,2120,951,28.5875,12336,9450,2886,12805,135284.090909091,5951,2436,1315,634,427,106,22383.4853090172,North Lawndale,35276,10869,5.59481566820276
9358,3632,473,4541,438,4406,4007,3655,2729,2539,1106,38.1800803212851,9334,8485,849,5597,299451.55393053,1721,1464,971,847,774,753,51818.1818181818,North Park,18442,6530,5.57222914072229
