WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,MED_HV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,GEOG,TOT_POP,TOT_HH,MED_ROOMS
9664,1147,233,1423,662,2507,3332,3192,2101,1180,817,37.288643533123,7285,6681,604,3633,153915.094339623,1726,1427,1329,945,493,311,49208.8607594937,O'Hare,13130,6231,4.49766652524395
31774,27575,862,2946,1360,15160,14457,14215,13346,4123,3218,37.8835661283282,37243,34296,2939,15104,256772.508038585,4609,5177,4382,3051,3103,2392,58294.6145723337,Portage Park,64517,22714,5.78044848307196
633,335,5474,43,135,1568,1288,1378,1301,672,413,40.6754530477759,3435,2739,696,1909,126614.583333333,1086,912,370,301,245,53,37165.4929577465,Pullman,6620,2967,5.56823529411765
135,265,6926,26,30,3494,1731,1073,733,223,128,21.2959641255605,2575,1624,951,1980,56875.0,1638,548,114,61,40,8,14286.7647058824,Riverdale,7382,2409,5.02667814113597
23604,12383,14455,3205,1853,12092,16967,12526,9130,2718,2067,33.850342525909,32270,29377,2860,13994,188286.163522013,8558,6268,4048,2167,1944,1273,37549.1480996068,Rogers Park,55500,24258,4.40985434007134
417,396,40798,169,547,11388,7752,7207,8499,4097,3384,39.5594862550698,18605,13757,4821,15215,126030.431432974,5332,3703,2234,1399,1363,461,37067.4300254453,Roseland,42327,14492,6.22430112260621
672,5810,20826,16,277,8299,5179,4987,5125,2091,1920,36.0484395318596,12597,9818,2779,8482,115100.882723834,4584,2728,1485,707,526,195,28824.1678726483,South Chicago,27601,10225,5.68078626799557
781,4139,9575,1,139,4549,2697,2351,2644,1479,915,35.5958333333333,6322,4717,1605,4727,97134.1463414634,2005,1364,928,393,250,72,34077.6699029126,South Deering,14635,5012,5.96900584795322
2545,62126,8831,201,280,24104,19794,15470,9753,2906,1956,29.2270621637776,28415,25683,2732,26549,142948.318804483,7069,5870,2755,980,1037,209,31766.323024055,South Lawndale,73983,17920,4.94382737475414
1467,924,47326,258,793,13610,10453,10059,9875,3650,3121,36.9506792675724,23117,18373,4744,16930,156976.268412439,11323,5134,2769,1744,1192,599,25259.7109304426,South Shore,50768,22761,5.05364491475603
21691,2115,4003,6162,1039,5279,14266,6812,5493,1932,1228,32.921760391198,23319,22051,1172,9424,357605.10155881,3120,1760,2245,2351,3460,5636,97979.5831561038,The Loop,35010,18572,3.74350343341861
30456,7468,10970,5773,1629,7030,18725,13253,10706,3333,3249,37.527460920997,35626,32640,2971,14565,257728.215767635,9629,5794,4321,3120,3293,3079,45643.9393939394,Uptown,56296,29236,4.074010595201
170,324,25981,8,572,6131,5059,4848,5800,2476,2741,41.9967121901872,13093,10653,2440,9360,133376.585928489,2787,2467,1405,1224,1244,382,44491.4040114613,Washington Heights,27055,9509,6.38729845343863
48,216,11199,14,391,4604,2783,2001,1686,409,385,27.8502155172414,4921,3607,1314,3124,150201.612903226,2256,954,656,212,204,69,23742.1875,Washington Park,11868,4351,5.36099825885084
2845,16585,213,310,5,6579,4681,4097,2634,1279,689,30.6798245614035,9647,8446,1201,5224,164842.767295597,987,1538,1112,605,768,115,50792.8118393235,West Elsdon,19958,5126,5.90828762949421
244,1890,28249,6,409,8793,6447,5714,5110,2779,1955,35.4563719862227,12858,8532,4326,10957,86131.5789473684,4559,2634,1367,613,330,152,27222.6821192053,West Englewood,30798,9655,6.06992481203008
277,363,16713,33,113,6290,3642,3117,2622,924,903,28.8312202852615,5770,4687,1083,6621,142170.32967033,2861,1094,772,375,142,69,22697.5169300226,West Garfield Park,17499,5313,5.87430939226519
5008,27169,1154,193,71,11317,7883,7120,4544,1597,1134,31.1212463674524,16702,14472,2230,8004,160041.407867495,1595,2786,1851,1261,1130,311,50972.850678733,West Lawn,33595,8934,6.29858870967742
281,1488,25530,70,213,7743,5668,4806,5160,2552,1651,36.2753036437247,12774,9530,3244,8697,108891.454965358,3585,2244,1452,860,731,315,35410.1123595506,West Pullman,27582,9188,6.27342314758114
31806,13366,8936,16641,2974,19951,16264,14581,13704,5138,4085,35.5717191368942,37221,33803,3418,19708,241208.530805687,6180,6501,3965,2652,3302,2182,48700.7168458781,West Ridge,73723,24782,5.40373844861383
50366,22561,6565,3464,2351,14797,36427,20110,8722,3175,2076,32.1712654300614,59090,55982,3109,13526,394408.237747654,6299,5789,5645,4815,6335,8854,80895.6386292835,West Town,85307,37737,4.92665915785826
1921,696,20029,663,499,7814,5480,4127,3748,1693,946,30.7621951219512,9204,7492,1712,8915,155357.142857143,4610,1972,936,701,582,323,24603.305785124,Woodlawn,23808,9124,5.32806191117093
