WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,MED_HV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,GEOG,TOT_POP,TOT_HH,MED_ROOMS
15392,27953,2147,7324,1202,14769,15060,12305,7443,3201,1240,32.39945711,30607,27198,3409,11748,252041.9426,4367,3926,3032,2036,1739,1509,50085.24833,Albany Park,54018,16609,5.365877081
2906,10708,205,203,84,4513,3415,2840,2068,921,350,30.41773013,6993,5830,1163,3381,198606.9277,824,1279,784,363,386,166,43759.61538,Archer Heights,14106,3802,5.569655725
1624,517,1670,9855,510,2955,3080,2768,2849,1472,1052,41.29036561,7511,6326,1185,4451,255531.6092,2674,943,769,406,303,148,24101.0274,Armour Square,14176,5244,4.840924541
6814,14699,20940,156,212,12864,8428,8940,8517,2849,1223,35.21601563,21724,18983,2741,11311,171042.9897,2192,2552,2481,2135,2488,979,67286.12167,Ashburn,42821,12827,6.469570234
127,653,47594,118,442,14355,8680,9236,9002,5781,1880,37.54878315,21283,15210,6047,16982,137965.1163,7574,4401,2678,1412,870,380,29167.30769,Auburn Gresham,48934,17315,5.88
4456,9253,82991,446,851,29912,20081,18864,18104,8444,2592,34.13799062,41624,32238,9379,33427,187469.5617,13086,8964,4450,2657,1954,948,31912.19614,Austin,97997,32059,5.700568182
192,35,9596,43,60,2009,1981,1978,2070,1396,492,43.18785358,5030,3942,1088,3237,166247.3795,1214,934,491,508,617,163,45896.0177,Avalon Park,9925,3927,6.411717496
11699,25639,794,1268,862,10277,12708,8544,5583,2503,647,31.58532828,22247,20123,2124,9712,293384.5391,3310,4543,2542,1309,1274,729,44727.12238,Avondale,40262,13707,5.513439731
11640,61488,3321,937,843,25836,18674,16537,11230,4329,1623,30.73850937,39538,33285,6253,18179,218117.7261,5504,6927,4272,2045,2172,566,42490.18838,Belmont Cragin,78229,21485,5.601241976
12157,1304,7792,47,462,6303,2735,4818,4977,2219,710,41.40754597,11195,10335,860,5390,302987.8049,717,1088,1273,1259,1643,1816,91282.7641,Beverly,21762,7796,7.280157031
10560,8980,753,11402,888,7760,8458,6391,6631,2424,919,35.18396753,18538,15781,2757,8125,271205.3571,3699,3139,2054,1405,1080,664,42572.76507,Bridgeport,32583,12040,5.233277592
3425,36267,744,3108,23,15194,10352,9508,5833,1968,712,29.22536232,20315,17308,2994,10934,177386.3636,3456,4609,1922,850,675,208,36517.27862,Brighton Park,43567,11720,5.367422174
18,0,2819,0,0,913,424,379,650,315,156,38.35588235,1049,839,210,1110,122142.8571,542,158,183,28,16,35,18685.56701,Burnside,2837,962,5.646126761
