WHITE,HISP,BLACK,ASIAN,OTHER,UND19,A20_34,A35_49,A50_64,A65_79,OV80,MED_AGE,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,MED_HV,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,GEOG,TOT_POP,TOT_HH,MED_ROOMS
15421,26892,2017,7387,1213,14351,14417,11908,8016,3062,1176,32.8619469,29932,26928,3004,11582,257296.2555,4018,3776,3187,1908,1947,1590,53029.6457,Albany Park,52930,16426,5.391191148
2884,10568,109,330,79,4319,3277,2876,2058,1020,420,31.8057971,6958,5963,995,3561,190816.3265,871,1386,768,347,420,127,42211.53846,Archer Heights,13971,3918,5.494037479
1636,551,1479,9772,469,3037,3206,2434,2651,1639,941,40.39561707,7092,6022,1070,4522,277968.75,2669,1030,661,284,396,128,23805.24862,Armour Square,13907,5167,4.773133376
6232,15384,20584,195,414,12553,8473,8808,8724,3201,1050,35.72645907,21841,18999,2842,11303,161254.8356,1984,2732,2545,2198,2314,949,66017.96407,Ashburn,42809,12722,6.494339126
175,672,46204,126,434,13305,9014,8262,9515,5541,1974,37.90656425,20445,14671,5722,16875,127610.4972,7403,4381,2849,1248,874,403,30000.0,Auburn Gresham,47611,17158,5.820135296
4213,10249,83987,475,787,30407,20747,18665,18300,9178,2414,33.86961134,41807,32579,9219,34198,176157.5875,13223,8922,4565,2587,2050,930,31434.91124,Austin,99711,32277,5.724772068
219,59,9695,30,68,2066,2044,1669,2262,1510,519,43.31402821,4911,3820,1091,3512,158340.9506,1143,1029,472,504,528,155,44583.33333,Avalon Park,10071,3833,6.387152778
12629,23537,873,1297,781,9565,12319,8099,5726,2721,687,32.07036255,21525,19685,1840,9723,279716.52,3405,4250,2602,1336,1194,773,44447.3342,Avondale,39117,13560,5.519970098
11228,62768,2802,1272,952,25902,18259,17142,11561,4606,1551,31.41423983,39676,34013,5649,18643,209062.5,5534,6606,4448,2067,2135,691,43223.47267,Belmont Cragin,79022,21480,5.601213458
11761,1169,7601,83,388,5675,2967,4491,5111,2124,634,42.02995539,11138,10310,828,5287,290195.0163,704,1143,1083,1169,1477,1950,92814.37126,Beverly,21002,7526,7.243694362
10411,8933,874,10846,818,6997,8656,6118,6825,2262,1023,35.69705591,18180,15780,2400,8176,267617.1079,3618,3322,2027,1433,1055,676,41819.06615,Bridgeport,31882,12132,5.302959761
2950,37509,577,3032,62,15183,10041,10081,6015,2075,735,30.00619665,20895,17802,3093,11324,167797.0852,3578,4741,1938,888,661,178,35754.06032,Brighton Park,44130,11984,5.328647416
0,0,2618,0,0,680,477,367,611,348,135,40.60410959,1084,909,175,1047,120030.1205,448,178,154,40,48,33,25480.76923,Burnside,2618,901,5.664850136
269,519,12462,19,131,2775,1647,3069,2624,2415,870,46.37003643,6068,4781,1287,5118,160553.4106,1151,1369,984,823,718,280,52761.62791,Calumet Heights,13400,5325,6.462391775
203,230,30662,90,335,7696,5985,5833,7138,3210,1659,40.44234528,15251,11802,3449,10224,145444.1392,5331,3570,2172,1132,838,439,33976.74419,Chatham,31520,13480,5.401981352
1854,25583,27974,421,461,19996,12923,10793,8560,3200,821,29.54793059,24825,19258,5560,15954,122708.1934,6138,4848,2407,1464,778,201,32789.91597,Chicago Lawn,56293,15836,5.856453132
11776,12005,167,345,159,6555,5569,5119,4151,2053,1005,35.27461538,13217,11858,1359,5771,186828.7373,1766,1680,1808,1334,1350,502,60284.62998,Clearing,24452,8440,5.719314079
2329,426,13815,2540,320,3894,5858,3499,3345,1829,1005,34.76919192,9572,7815,1757,7295,227013.4228,4093,1778,1620,710,489,381,32530.76923,Douglas,19430,9071,3.986119775
29060,11255,694,1583,461,9384,9364,8449,9684,4167,2005,40.52252711,24081,21828,2253,11500,231358.756,2998,3457,2838,2318,2681,1009,61181.99663,Dunning,43053,15301,5.890367405
827,680,18535,59,162,6742,4708,3630,3319,1411,452,30.30341637,6933,5504,1429,7938,167826.087,3656,1501,775,539,271,138,22313.89578,East Garfield Park,20262,6880,5.52373581
4074,19121,398,34,73,8095,4811,4846,3749,1502,698,31.63333333,11141,9140,1978,5880,123795.3368,1746,1982,1245,748,689,300,43720.62663,East Side,23700,6710,6.087271179
30151,9007,7685,6482,1951,8545,16367,12934,10369,5101,1960,37.91328244,34371,31169,3202,14919,231217.1916,8188,7167,4755,3133,2980,2446,44482.8156,Edgewater,55276,28669,4.196514616
9560,854,117,216,98,2230,1984,2518,2299,1073,741,42.75208738,6017,5612,405,2996,317775.3544,489,841,714,741,792,848,80651.1471,Edison Park,10844,4425,5.945588235
226,543,26054,73,401,8825,6170,4312,5029,2002,959,31.26882223,10347,6536,3805,10040,102311.828,5640,2042,1027,287,295,70,18959.58084,Englewood,27297,9361,5.714321172
13292,2358,31,2551,268,4943,2353,3930,4129,2044,1101,42.5289823,9448,8864,584,4758,416248.0974,738,1138,907,705,1393,1802,94822.69504,Forest Glen,18501,6682,6.881061599
84,216,2294,14,14,654,486,429,506,461,85,39.59038462,1078,692,386,1017,102106.7416,670,239,81,71,57,12,17218.04511,Fuller Park,2621,1131,5.239520958
1421,37260,1336,333,31,14564,9846,8961,4520,2029,461,28.39697286,19415,16275,3140,9258,136116.2362,2772,3355,1736,929,550,109,37940.95665,Gage Park,40381,9451,5.663261516
17160,15297,1461,507,299,8781,6457,7820,6646,3366,1654,39.26890894,17982,15818,2164,9984,208579.6806,2180,2589,2292,1565,2088,1219,62042.22573,Garfield Ridge,34724,11933,5.973170732
702,474,20526,102,479,6298,4491,4982,3598,2146,768,35.98027809,10624,8142,2482,6698,220761.8026,4400,1953,1389,853,641,554,30917.72152,Grand Boulevard,22283,9790,5.052696078
419,602,31332,20,476,10130,6057,6148,6417,2676,1421,35.5789801,14341,10642,3699,10630,124527.4102,5853,2750,1798,778,550,303,26076.61823,Greater Grand Crossing,32849,12032,5.587468267
3983,4914,408,16,56,2372,1740,1669,2013,1124,458,39.33751926,4321,3915,406,3043,141796.875,947,833,613,479,393,293,50000.0,Hegewisch,9377,3558,5.844628099
1814,22174,377,204,267,7697,6255,4676,4263,1522,423,31.01143301,12987,11382,1605,5458,205186.5672,2054,2226,1275,676,523,169,37494.63519,Hermosa,24836,6923,5.623171671
2863,28095,22604,270,683,18786,13424,10117,8252,3111,825,29.32538798,22761,18769,3992,16839,173456.5549,6538,4528,2636,1518,797,417,32484.30493,Humboldt Park,54515,16434,5.564021641
12298,1681,8519,3242,965,5586,9444,4616,3795,2209,1055,31.41114177,14434,13225,1201,8965,256936.6853,3689,2635,2436,969,1364,1352,48724.87437,Hyde Park,26705,12445,4.504485852
22492,26558,1646,4287,1507,13877,14994,13271,9413,3678,1257,34.37771156,32025,29088,2922,12856,278052.3256,4401,6031,3224,2470,2438,1749,48858.74068,Irving Park,56490,20313,5.494778761
18362,5374,340,2341,558,6208,5273,5740,5732,2876,1146,40.22435897,14616,13108,1508,7176,274571.7345,2125,2151,1574,1414,1657,1194,62420.63492,Jefferson Park,26975,10115,5.668900344
3236,701,12362,1492,426,3767,4957,3181,3521,2085,706,36.61443873,9283,7979,1304,5857,247392.638,3214,2084,1198,721,922,991,39631.57895,Kenwood,18217,9130,4.514084507
78123,7133,3430,6639,2643,11162,50485,19188,10292,5030,1811,30.60180798,73702,70518,3123,14242,368408.5213,8473,8994,8399,6421,8853,11085,75959.74147,Lake View,97968,52225,4.468638549
53345,4771,2691,3633,1511,11685,28792,12178,7660,4210,1426,30.019194,44369,42252,2117,12715,484602.649,5587,4051,4411,3653,5238,9331,89279.35943,Lincoln Park,65951,32271,4.499219194
25865,6236,1525,4738,1183,7009,12669,9481,6728,2743,917,35.11716324,25806,23757,2037,7744,359476.3092,3609,3721,3229,2249,2342,2573,62536.71072,Lincoln Square,39547,17723,5.072411206
31332,34648,3917,1789,1477,16161,26781,17035,8322,4058,806,31.72363942,44252,41082,3164,15628,336471.0516,6707,6353,5227,3033,3741,3737,55769.06506,Logan Square,73163,28798,5.428899083
4303,28661,1294,383,338,9747,10755,7197,4428,2031,821,30.43906014,18968,16252,2716,7979,216202.8725,4020,3707,2146,944,745,339,35115.8147,Lower West Side,34979,11901,4.767985962
3104,9487,446,3185,227,4801,3890,3228,3027,992,511,33.28112606,8336,7171,1165,4143,203510.9983,1493,1491,1041,543,388,179,42484.7561,McKinley Park,16449,5135,5.648136836
4072,7503,466,741,105,3513,2917,2685,2340,1011,422,35.08468415,6381,5595,786,3597,204377.2563,1082,1479,655,548,491,173,41592.52669,Montclare,12887,4429,5.466458658
6938,625,15132,52,473,5920,4020,4228,5107,2510,1435,41.35952842,10810,9187,1615,7695,176379.4567,1839,1543,1284,1313,1190,786,61446.85039,Morgan Park,23220,7955,6.497388509
